movieId,tagId,relevance,tag,title_cast,director,runtime,budget,plot_keywords,imdbId,tmdbId,title,genres,year,combine
11,1,0.03625,007,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith|Samantha Mathis|Shawna Waldron|David Paymer|Anne Haney|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina,Aaron Sorkin,114.0,"$62,000,000",reference to franklin d. roosevelt|reference to martin van buren|president|speechwriter,112346,9087.0,"American President, The (1995)",Comedy|Drama|Romance,1995,Aaron Sorkin Comedy Drama Romance reference to franklin d. roosevelt reference to martin van buren president speechwriter
12,1,0.0449999999999999,007,Leslie Nielsen|Peter MacNicol|Steven Weber|Amy Yasbeck|Lysette Anthony|Harvey Korman|Mel Brooks|Mark Blankfield|Megan Cavanagh|Clive Revill|Chuck McCann|Avery Schreiber|Cherie Franklin|Ezio Greggio|Leslie S. Sachs,Mel Brooks,88.0,"$30,000,000",dracula|vampire|19th century|insane asylum,112896,12110.0,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Mel Brooks Comedy Horror dracula vampire 19th century insane asylum
13,1,0.0242499999999999,007,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Jack Angel|Danny Mann|Robbie Rist|Juliette Brewer|Sandra Dickinson|Miriam Margolyes|Lola Bates-Campbell|Donald Sinden|William Roberts|Garrick Hagon,Cliff Ruby,78.0,,dog|nome alaska|alaska|children,112453,21032.0,Balto (1995),Adventure|Animation|Children,1995,Cliff Ruby Adventure Animation Children dog nome alaska alaska children
14,1,0.0247499999999999,007,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel,Oliver Stone,192.0,"$44,000,000",american president|american politics|paranoia|u.s. president,113987,10858.0,Nixon (1995),Drama,1995,Oliver Stone Drama american president american politics paranoia u.s. president
15,1,0.05275,007,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones,Michael Frost Beckner,124.0,"$98,000,000",treasure|pirate|treasure map|pirate ship,112760,1408.0,Cutthroat Island (1995),Action|Adventure|Romance,1995,Michael Frost Beckner Action Adventure Romance treasure pirate treasure map pirate ship
16,1,0.0369999999999999,007,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|L.Q. Jones|Dick Smothers|Frank Vincent|John Bloom|Pasquale Cajano|Melissa Prophet|Bill Allison|Vinny Vella,Nicholas Pileggi,178.0,"$52,000,000",crime epic|casino|gambling|gangster,112641,524.0,Casino (1995),Crime|Drama,1995,Nicholas Pileggi Crime Drama crime epic casino gambling gangster
17,1,0.0272499999999999,007,James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson|Gemma Jones|Hugh Grant|Emilie François|Elizabeth Spriggs|Robert Hardy|Ian Brimble|Isabelle Amyes|Alan Rickman|Greg Wise|Alexander John,Jane Austen,136.0,"$16,000,000",england|19th century|based on novel|black hair,114388,4584.0,Sense and Sensibility (1995),Drama|Romance,1995,Jane Austen Drama Romance england 19th century based on novel black hair
18,1,0.03075,007,Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval|Antonio Banderas|Lana McKissack|Patricia Vonne|Tamlyn Tomita|Danny Verduzco|Salma Hayek,Alexandre Rockwell,98.0,"$4,000,000",woman|gagged woman|tied to a chair|weapon,113101,5.0,Four Rooms (1995),Comedy,1995,Alexandre Rockwell Comedy woman gagged woman tied to a chair weapon
19,1,0.0429999999999999,007,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny Daniels|Sam Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad,Jack Bernstein,90.0,"$30,000,000",male objectification|kidnapping|caught masturbating|fictional country,112281,9273.0,Ace Ventura: When Nature Calls (1995),Comedy,1995,Jack Bernstein Comedy male objectification kidnapping caught masturbating fictional country
20,1,0.0459999999999999,007,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Vincent Laresca|Nelson Vasquez|Vincent Patrick|Aida Turturro|Alvaleta Guess|Vincent Pastore|David Tawil,Doug Richardson,110.0,"$68,000,000",train|subway|loan shark|new year's eve,113845,11517.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,Doug Richardson Action Comedy Crime Drama Thriller train subway loan shark new year's eve
21,1,0.0334999999999999,007,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Linda Hart|Bobby Slayton,Elmore Leonard,105.0,"$30,250,000",movie business|loan shark|debt|mobster,113161,8012.0,Get Shorty (1995),Comedy|Crime|Thriller,1995,Elmore Leonard Comedy Crime Thriller movie business loan shark debt mobster
22,1,0.0295,007,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.|J.E. Freeman|Will Patton|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott DeVenney|David Michael Silverman,Ann Biderman,123.0,"$20,000,000",serial killer|psychopath|dead body in a bathtub|detective,112722,1710.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,Ann Biderman Crime Drama Horror Mystery Thriller serial killer psychopath dead body in a bathtub detective
23,1,0.0777499999999999,007,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid,Lilly Wachowski,132.0,"$50,000,000",assassin|rival|assassination|computer hacker,112401,9691.0,Assassins (1995),Action|Crime|Thriller,1995,Lilly Wachowski Action Crime Thriller assassin rival assassination computer hacker
24,1,0.02975,007,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith|Bradford Tatum|Susan Tyrrell|Missy Crider|Ray Wise|Esteban Powell|Reed Frerichs|Chad Cox|Joe Marchman|Philip Maurice Hayes|Danette McMahon,Victor Salva,111.0,"$9,500,000",albino|electricity|loneliness|bully,114168,12665.0,Powder (1995),Drama|Sci-Fi,1995,Victor Salva Drama Sci-Fi albino electricity loneliness bully
25,1,0.0235,007,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Regen|Valeria Golino|Graham Beckel|Albert Henderson|Shashi Bhatia|Carey Lowell|Anne Lange|Thomas Kopache,John O'Brien,111.0,"$3,600,000",prostitute|alcoholism|alcoholic|falling in love with a prostitute,113627,451.0,Leaving Las Vegas (1995),Drama|Romance,1995,John O'Brien Drama Romance prostitute alcoholism alcoholic falling in love with a prostitute
26,1,0.0295,007,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney|Anna Patrick|Nicholas Farrell|Indra Ové|Michael Sheen|André Oumansky|Philip Locke|John Savident|Gabriele Ferzetti|Pierre Vaneck,Oliver Parker,123.0,"$11,000,000",italy|black man white woman marriage|black man white woman sex|black man white woman kiss,114057,16420.0,Othello (1995),Drama,1995,Oliver Parker Drama italy black man white woman marriage black man white woman sex black man white woman kiss
27,1,0.03,007,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Devon Sawa|Walter Sparrow|Cloris Leachman|Lolita Davidovich|Janeane Garofalo|Hank Azaria|Bonnie Hunt,I. Marlene King,100.0,,1970s|year 1991|1990s|year 1970,114011,9263.0,Now and Then (1995),Children|Drama,1995,I. Marlene King Children Drama 1970s year 1991 1990s year 1970
28,1,0.0329999999999999,007,Amanda Root|Ciarán Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Emma Roberts|Victoria Hamilton,Roger Michell,107.0,,captain|accident|napoleonic wars|marriage,114117,17015.0,Persuasion (1995),Drama|Romance,1995,Roger Michell Drama Romance captain accident napoleonic wars marriage
29,1,0.0232499999999999,007,Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch,Jean-Pierre Jeunet,112.0,"$18,000,000",psychotronic film|underwater scene|children|dream,112682,902.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,Jean-Pierre Jeunet Adventure Drama Fantasy Mystery Sci-Fi psychotronic film underwater scene children dream
30,1,0.029,007,Li Gong|Baotian Li|Xiaoxiao Wang|Xuejian Li|Chun Sun|Biao Fu|Shu Chen|Jiang Liu|Baoying Jiang|Qianquan Yang|Ying Gao|Weiming Gao|Shuliang Lian|Ya'nan Wang|Zhang Yayun,Feiyu Bi,,,Unknown,115012,37557.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,Feiyu Bi Crime Drama Unknown
31,1,0.03925,007,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Marcello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt,LouAnne Johnson,99.0,"$23,000,000",teacher student relationship|ex marine|pregnancy|high school principal,112792,9909.0,Dangerous Minds (1995),Drama,1995,LouAnne Johnson Drama teacher student relationship ex marine pregnancy high school principal
32,1,0.024,007,Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Madeleine Stowe|Joey Perillo|Bruce Kirkpatrick,Chris Marker,129.0,"$29,000,001",time travel|virus|mental institution|underground,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,Chris Marker Mystery Sci-Fi Thriller time travel virus mental institution underground
33,1,0.0399999999999999,007,Craig Sheffer|Tom Hulce|Elizabeth McGovern|Val Kilmer|Ken Pogue|Ron Sauvé|Freddy Andreiuci,Alain Godard,50.0,,airmail|period piece|3 dimensional,114952,78802.0,Wings of Courage (1995),Adventure|Romance|IMAX,1995,Alain Godard Adventure Romance IMAX airmail period piece 3 dimensional
34,1,0.0262499999999999,007,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|James Cromwell|Magda Szubanski|Zoe Burton|Paul Goddard,Dick King-Smith,91.0,"$30,000,000",farmer|pig|sheep|farm,112431,9598.0,Babe (1995),Children|Drama,1995,Dick King-Smith Children Drama farmer pig sheep farm
35,1,0.0459999999999999,007,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Peter Blythe|Jeremy Northam|Alex Kingston|Sebastian Harcombe|Richard Clifford|David Ryall|Stephen Boxer|Annabel Mullion,Christopher Hampton,121.0,,writer|gay|rape|f rated,112637,47018.0,Carrington (1995),Drama|Romance,1995,Christopher Hampton Drama Romance writer gay rape f rated
36,1,0.0222499999999999,007,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Ray Aranha|Larry Pine,Helen Prejean,122.0,"$11,000,000",nun|solitary confinement|execution|capital punishment,112818,687.0,Dead Man Walking (1995),Crime|Drama,1995,Helen Prejean Crime Drama nun solitary confinement execution capital punishment
37,1,0.0232499999999999,007,Peter Reznick|John McDonough|Avi Hoffman|Victor Steinbach|Peter Boyden|Philip Levy|Nick Muglia|Abby Lewis|Matt Malloy|Luigi Petrozza|Bernard Ferstenberg|Robert Buckley|Donald Trump|Patrick Flynn|George Gerard,Stephen Low,51.0,,donald trump|immigrant|11 year old|brooklyn new york city,112286,139405.0,Across the Sea of Time (1995),Documentary|IMAX,1995,Stephen Low Documentary IMAX donald trump immigrant 11 year old brooklyn new york city
38,1,0.0305,007,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco|Jane Sibbett|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Anthony Aiello|LaTonya Borsay|Michèle Lonsdale Smith|Sean Orr|Elizabeth Walsh,Deborah Dean Davis,101.0,,mistaken identity|identity swapping|nylon stockings|child plays matchmaker,113442,33689.0,It Takes Two (1995),Children|Comedy,1995,Deborah Dean Davis Children Comedy mistaken identity identity swapping nylon stockings child plays matchmaker
39,1,0.03225,007,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Aida Linares|Wallace Shawn|Twink Caplan|Justin Walker|Sabastian Rashidi|Herb Hall,Amy Heckerling,97.0,"$12,000,000",miniskirt|girl wears a miniskirt|short skirt|virgin,112697,9603.0,Clueless (1995),Comedy|Romance,1995,Amy Heckerling Comedy Romance miniskirt girl wears a miniskirt short skirt virgin
40,1,0.022,007,James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramolao Makhene|Jack Robinson|Jennifer Steyn|Patrick Ndlovu|Darlington Michaels|King Twala|Somizi Mhlongo|Sam Ngakane|John Whiteley,Ronald Harwood,106.0,,1940s|racial tension|apartheid|south africa,112749,34615.0,"Cry, the Beloved Country (1995)",Drama,1995,Ronald Harwood Drama 1940s racial tension apartheid south africa
41,1,0.03675,007,Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening|Matthew Groom|John Wood|Nigel Hawthorne|Maggie Smith|Kate Steavenson-Payne|Robert Downey Jr.|Tres Hanley|Tim McInnerny|Stacey Kent|Jim Carter,Ian McKellen,110.0,"GBP6,000,000",fascist|dog|tank|battle,114279,31174.0,Richard III (1995),Drama|War,1995,Ian McKellen Drama War fascist dog tank battle
42,1,0.0359999999999999,007,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Alvaleta Guess|James Pickens Jr.|Jenifer Lewis|Clifton Powell|Elizabeth Rodriguez|Terrence Howard|Ryan Williams|Larry McCoy|Rodney Winfield,Allen Hughes,119.0,"$10,000,000",vietnam war|1960s|black panthers|new york city,112819,11443.0,Dead Presidents (1995),Action|Crime|Drama,1995,Allen Hughes Action Crime Drama vietnam war 1960s black panthers new york city
43,1,0.0534999999999999,007,Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Mary MacLeod|Mark Letheren|Sandy McDade|Rosalind Bennett|Willie Ross|David Gant|Benjamin Whitrow,Rose Tremain,117.0,"$19,000,000",17th century|plague|based on novel|king charles ii,114272,35196.0,Restoration (1995),Drama,1995,Rose Tremain Drama 17th century plague based on novel king charles ii
44,1,0.0484999999999999,007,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Hakim Alston|Kenneth Edwards|John Fujioka|Daniel Haggard|Sandy Helberg,Ed Boon,101.0,"$18,000,000",based on video game|campy|evil man|villain,113855,9312.0,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,Ed Boon Action Adventure Fantasy based on video game campy evil man villain
45,1,0.021,007,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Michael Rispoli|Buck Henry,Joyce Maynard,106.0,"$20,000,000",scantily clad female|new hampshire|television|coitus,114681,577.0,To Die For (1995),Comedy|Drama|Thriller,1995,Joyce Maynard Comedy Drama Thriller scantily clad female new hampshire television coitus
46,1,0.0404999999999999,007,Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou|Alfre Woodard|Lois Smith|Jean Simmons|Kate Nelligan|Denis Arndt|Rip Torn,Whitney Otto,117.0,"$10,000,000",younger version of character|triple f rated|title directed by female|love,113347,11861.0,How to Make an American Quilt (1995),Drama|Romance,1995,Whitney Otto Drama Romance younger version of character triple f rated title directed by female love
47,1,0.022,007,Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson|Bob Collins,Andrew Kevin Walker,127.0,"$33,000,000",serial killer|detective|serial murder|seven deadly sins,114369,807.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,Andrew Kevin Walker Mystery Thriller serial killer detective serial murder seven deadly sins
48,1,0.0314999999999999,007,Joe Baker|Christian Bale|Irene Bedard|Billy Connolly|James Apaumut Fall|Mel Gibson|Linda Hunt|John Kassir|Judy Kuhn|Danny Mann|Russell Means|David Ogden Stiers|Michelle St. John|Gordon Tootoosis|Frank Welker,Eric Goldberg,81.0,"$55,000,000",unsubtitled foreign language|disobedience|pocahontas character|captain john smith character,114148,10530.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,Eric Goldberg Animation Children Drama Musical Romance unsubtitled foreign language disobedience pocahontas character captain john smith character
49,1,0.026,007,Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar|Tracy Wright|Clare Coulter|Karyne Steben|Sarah Steben|Jonathan Potts|Tom Melissis|Stuart Clow|Richard W. Farrell|Fides Krucker|Thomas Sokolowski,Patricia Rozema,94.0,,christian|teacher|scissoring|tribadism,114916,8391.0,When Night Is Falling (1995),Drama|Romance,1995,Patricia Rozema Drama Romance christian teacher scissoring tribadism
50,1,0.021,007,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook,Christopher McQuarrie,106.0,"$6,000,000",criminal|suspect|criminal mastermind|flashback,114814,629.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,Christopher McQuarrie Crime Mystery Thriller criminal suspect criminal mastermind flashback
52,1,0.029,007,Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro|Denise Faye|Marian Filali|Angelo Fraboni|Scott Fowler|Seth Gertsacov|Patti Karr|Fred Mann III|John Mineo|Christopher Nelson|Valda Setterfield,Woody Allen,95.0,"$15,000,000",new york city|talking about sex|husband wife relationship|hot,113819,11448.0,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,Woody Allen Comedy Drama Romance new york city talking about sex husband wife relationship hot
53,1,0.023,007,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi|Sefer Pema|Idajet Sejdia|Marieta Ljarja|Elina Ndreu|Ilir Ara|Liliana Subashi|Artan Marina|Vassjan Lammi|Nikolin Elezi|Fatmir Gjyla,Gianni Amelio,116.0,,albania|one word title|poverty|fraud,110299,49133.0,Lamerica (1994),Adventure|Drama,1994,Gianni Amelio Adventure Drama albania one word title poverty fraud
54,1,0.03275,007,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan|Yareli Arizmendi|Bug Hall|Jessica Robertson|Anthony Esquivel|Jordan Brower|Hayley Kolb|Haley Miller|Ashley Welch,Holly Goldberg Sloan,100.0,"$12,000,000",close up of eyes|texas|fast motion|sports team,112499,26441.0,"Big Green, The (1995)",Children|Comedy,1995,Holly Goldberg Sloan Children Comedy close up of eyes texas fast motion sports team
55,1,0.0292499999999999,007,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower|Smokey Hormel|Jimmy Z.|Tony Marsico|Jamian Briar|Rachel Rasco|Nicole Donahoo,Barbara Turner,115.0,,voyeur|sex in bed|female rear nudity|female frontal nudity,113158,97406.0,Georgia (1995),Drama,1995,Barbara Turner Drama voyeur sex in bed female rear nudity female frontal nudity
56,1,0.0379999999999999,007,Johnny Morina|Maggie Castle|Christopher Olscamp|Justin Borntraeger|Billy Coyle|Jeoffrey Graves|Malcolm McDowell|Peter Aykroyd|Mélany Goudreau|James Rae|Jamieson Boulanger|Roc LaFortune|Michael Ironside|René Simard|Melissa Altro,Robert Tinnell,89.0,,sword|magic|11 year old|boy,113541,124057.0,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1995,Robert Tinnell Adventure Children Comedy Fantasy sword magic 11 year old boy
57,1,0.0282499999999999,007,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|Cynthia Stevenson|Claire Danes|Emily Ann Lloyd|Zack Duhame|Austin Pendleton|David Strathairn|Amy Yasbeck|James Lecesne,Chris Radant,103.0,"$20,000,000",thanksgiving|gay sibling|female protagonist|dysfunctional family,113321,9089.0,Home for the Holidays (1995),Drama,1995,Chris Radant Drama thanksgiving gay sibling female protagonist dysfunctional family
